BirthYear,Sex,LicenseYear,CarBrand,CarType,CarYear,CarEngine,EngineCap,CarValue,AssistanceYears,Accidents,NextAccident
1978,0,5.9976,4,3,2009,1202,101,57600,2.499,1,1
1966,0,18.1594,2,4,2010,1936,118,56100,7.4137,1,0
1972,0,27.4057,4,3,2012,1538,127,57650,8.5799,1,0
1972,0,23.4906,3,3,2012,1594,141,57150,15.5771,0,0
1967,1,16.9099,9,2,2008,1978,243,33000,10.0793,1,1
1989,1,6.664,2,3,1997,1514,144,35900,5.0813,0,0
1992,1,9.5795,3,2,2012,1360,105,72150,2.0825,1,0
1959,1,25.7397,9,2,2008,1532,104,35950,11.1622,2,0
1973,1,17.4097,4,2,2008,1140,77,35000,16.8266,1,0
1991,1,3.2487,8,4,2013,1710,184,66350,0.4165,0,0
1995,0,4.8314,2,3,2005,1316,91,31350,2.9155,2,0
1983,1,0.4998,2,3,2010,1552,105,59900,0,0,0
1976,1,2.3324,3,4,2009,1652,262,51200,1.4994,1,0
1995,0,3.9151,7,1,2013,1996,151,61700,1.7493,2,0
1973,1,16.1602,2,2,2009,1772,131,60700,6.4141,0,0
1966,1,29.155,8,2,2012,1310,94,64750,25.4065,0,0
1986,1,4.7481,3,2,2011,1460,122,63250,1.1662,0,1
1965,0,11.3288,3,3,2004,1182,84,31250,8.2467,1,1
1965,1,34.2363,2,3,2010,1526,101,46550,30.1546,2,0
1982,1,4.998,4,1,2013,1722,115,49250,4.0817,1,0
1985,1,7.7469,3,4,2013,1768,123,51800,5.0813,3,0
1992,0,9.8294,5,3,2013,1244,112,53250,7.0805,1,0
1995,1,6.4974,8,1,2006,2234,117,38600,1.4994,1,0
1991,0,6.7473,9,1,2009,1812,138,60500,2.3324,2,1
1982,1,9.5795,5,3,2009,1410,92,48100,2.9988,2,0
1978,0,9.996,4,2,2009,1180,77,52750,3.8318,2,0
1965,1,12.3284,1,3,2013,1180,97,55350,5.9143,0,0
1975,1,14.9107,4,3,2007,1586,95,31900,6.2475,0,0
1976,1,6.3308,3,3,2005,1178,95,32650,0.833,1,0
1963,1,14.161,3,3,2011,1384,112,74650,9.8294,2,0
1986,0,9.3296,2,3,2005,1580,135,38300,2.7489,0,1
1975,0,23.324,2,2,2013,1366,132,63600,8.1634,0,0
1983,1,5.3312,3,3,2007,1416,104,35700,3.7485,2,0
1975,1,22.491,4,1,2007,1982,117,32250,5.7477,3,0
1988,1,8.8298,4,3,2012,1552,109,58500,1.8326,0,0
1966,0,10.9956,5,1,2008,2222,120,36850,7.2471,0,0
1969,1,26.2395,5,3,2008,1100,86,35850,8.9131,0,1
1953,0,35.2359,4,3,2012,1418,113,75250,24.3236,0,0
1983,0,11.7453,4,3,2012,1600,111,53800,5.5811,1,1
1989,0,8.5799,2,3,2008,1788,185,35850,5.4978,1,0
1983,1,9.163,4,1,2010,1820,152,44150,7.9968,1,0
1985,1,10.3292,6,3,2009,1370,119,66200,3.7485,0,1
1983,1,11.9119,3,3,2004,1114,82,35350,7.1638,3,0
1963,0,32.6536,5,2,2013,1494,108,45850,1.7493,2,0
1991,1,9.8294,8,3,2011,1298,92,48550,5.7477,2,1
1985,1,11.9119,1,2,2007,1124,86,30950,2.499,3,0
1948,1,19.6588,2,3,2004,1732,190,32850,12.495,2,0
1993,1,3.9984,2,2,2010,1652,121,52200,2.499,0,0
1984,1,3.5819,8,4,2012,2012,195,78000,2.5823,2,0
1969,1,27.5723,4,3,2006,1774,169,36500,11.2455,0,0
1982,1,1.9992,1,3,2011,1554,95,65900,0.833,0,1
1989,1,12.7449,8,2,2012,1960,138,69450,4.2483,1,0
1988,0,7.1638,8,3,2013,1236,109,59250,4.2483,2,0
1958,0,34.4029,7,2,2012,1680,189,73050,20.0753,1,1
1968,1,5.6644,3,1,2012,1662,142,61650,2.9988,2,0
1992,1,7.8302,3,2,2002,1290,138,30400,4.6648,2,0
1970,0,24.8234,8,2,2013,1364,137,51000,5.5811,0,1
1987,1,6.2475,3,3,1998,1538,115,30150,4.4982,1,0
1967,1,24.9067,4,3,2013,1818,114,65150,15.1606,0,0
1966,1,7.0805,3,2,2009,1568,127,53600,0.7497,1,1
1992,1,5.831,4,3,2007,1728,154,31450,2.9988,1,1
1991,0,7.1638,3,4,2005,1622,135,31450,0.9163,2,1
1954,0,30.821,3,2,1998,1528,136,31350,11.4121,1,1
1975,1,21.5747,3,2,2012,1240,130,42750,11.0789,1,0
1960,0,25.7397,4,2,2011,1328,98,47550,16.2435,0,0
1970,1,17.6596,3,1,2000,1928,190,32900,4.2483,3,1
1960,1,21.0749,4,3,2008,1546,144,35750,16.2435,2,0
1993,1,3.5819,5,3,2006,1414,117,32250,0,1,0
1992,0,6.2475,1,2,2009,1530,137,59650,4.998,1,0
1971,1,3.9151,4,1,2010,1918,123,62500,2.4157,2,0
1982,0,14.7441,3,2,2012,1160,84,48300,8.7465,0,0
1990,0,6.664,7,3,2010,1282,140,57900,3.4153,1,0
1979,1,15.9936,5,2,2012,1258,94,51150,6.4141,2,0
1974,0,10.4125,8,2,2006,1120,83,34600,7.497,0,0
1964,0,36.9852,5,3,2008,1444,119,32600,4.2483,1,0
1984,0,13.7445,1,3,2006,1452,105,33700,10.1626,0,0
1989,0,6.9972,1,4,2006,1828,213,34950,0.6664,1,0
1980,0,9.0797,8,2,2013,1430,133,77700,7.3304,0,0
1972,0,13.8278,1,4,2012,1764,135,63500,7.8302,1,0
1995,1,6.2475,2,4,2009,1848,156,58700,2.3324,3,1
1975,1,20.3252,5,2,2011,1286,124,47750,8.6632,0,0
1978,0,16.9099,8,2,2011,1438,116,55050,9.6628,2,0
1979,1,21.5747,8,3,2011,1238,124,48200,11.2455,3,0
1970,0,1.0829,8,2,2012,1506,132,55400,0.4998,1,0
1985,1,5.2479,1,2,2013,1534,119,52700,2.5823,1,0
1990,0,5.6644,7,1,2011,1658,142,50150,5.3312,0,0
1976,0,13.1614,3,3,2012,1494,115,73100,5.3312,0,0
1985,0,3.6652,1,1,2002,1824,160,31250,3.2487,0,0
1988,1,5.1646,8,2,2007,1316,111,30450,0.7497,0,0
1977,0,8.6632,1,2,2006,1700,139,33650,2.9155,0,0
1976,1,21.9079,1,2,2011,2116,261,60750,5.3312,0,0
1985,0,3.4986,8,1,2010,1898,170,72050,1.4994,2,0
1991,0,10.0793,2,2,2008,1484,141,35150,1.0829,1,0
1969,0,26.2395,9,2,2012,1184,90,53000,10.0793,1,0
1976,1,12.9948,2,2,2011,1330,114,77350,7.6636,0,0
1986,1,9.996,5,3,2010,1506,99,67000,6.5807,2,0
1985,0,7.6636,7,4,2011,1740,146,58200,1.9992,2,0
1956,0,24.8234,6,3,2011,1672,135,75200,14.994,1,0
1982,1,9.163,5,2,2003,1324,98,34350,5.4145,2,1
1972,1,19.4089,8,3,2013,1428,108,44950,11.9119,1,0
1995,1,3.9984,4,2,2005,1432,147,31300,2.5823,3,0
1979,1,17.7429,5,3,2010,1604,198,51000,7.5803,1,1
1995,1,6.9139,5,2,2013,1662,125,54550,2.6656,1,0
1984,1,11.4121,2,2,2009,1178,82,52550,4.7481,2,0
1987,1,3.6652,4,1,2010,1804,159,48700,2.499,0,0
1979,1,8.2467,5,3,2012,1412,137,60750,5.0813,1,1
1983,1,11.4954,6,1,2010,2060,114,75150,5.0813,0,0
1970,0,15.5771,4,4,2007,1832,179,38600,6.8306,0,0
1974,0,10.7457,2,3,2012,1506,99,71650,3.0821,0,0
1972,0,14.161,1,2,2013,1302,94,59600,5.6644,3,0
1987,1,2.9988,1,3,2009,1524,142,45900,0.6664,0,0
1994,1,7.0805,4,1,2011,1750,177,72850,0.9163,2,0
1967,0,21.1582,4,2,2010,1572,92,65400,10.5791,2,0
1975,1,18.5759,6,2,2012,1418,125,45000,1.4161,1,0
1981,0,5.9143,7,4,2013,1980,137,67450,3.332,0,0
1967,0,23.1574,2,2,2007,1574,109,32600,4.7481,0,0
1975,1,10.4958,4,1,2010,2042,241,53600,6.8306,0,0
1967,1,17.9095,3,2,2012,1566,95,46600,13.4113,1,0
1980,1,14.6608,5,3,2008,1472,146,34000,7.7469,0,0
1994,0,3.9151,3,4,2007,2034,144,31350,1.8326,1,0
1971,1,16.9932,3,3,2011,1288,139,46600,8.0801,1,1
1977,1,21.9079,3,3,2010,1454,122,62500,7.7469,0,0
1991,0,10.829,5,3,2012,1244,108,67900,4.2483,0,0
1994,1,4.4149,7,4,2013,1684,129,59050,1.2495,2,0
1988,0,2.499,4,1,2008,1666,262,32150,0.9996,0,0
1980,1,10.4958,3,3,2005,1770,146,35100,3.4986,0,0
1974,0,15.9103,6,2,2005,1174,91,35900,0.0833,0,0
1975,1,7.5803,9,3,2013,1516,121,60800,0.9996,1,0
1995,0,4.165,2,2,2006,1212,113,33250,1.2495,0,1
1951,1,39.7341,8,3,2011,1310,92,54800,6.9972,2,0
1993,1,7.1638,3,2,2012,1606,173,58900,5.831,2,0
1975,0,10.3292,2,4,2010,1978,152,51150,8.7465,1,0
1977,1,8.0801,1,2,2004,1608,168,31450,7.8302,4,0
1964,0,8.9964,3,2,2013,1416,130,66450,0.4998,2,0
1986,0,15.2439,4,3,2011,1424,119,48650,5.7477,2,1
1970,1,29.155,5,2,2011,1352,100,49150,19.0757,0,0
1975,1,12.9115,4,3,2003,1592,110,33400,8.2467,1,0
1986,1,6.664,2,3,2011,1314,104,49550,3.4153,1,0
1969,1,13.6612,4,3,2002,1478,134,33750,7.6636,2,0
1976,1,12.3284,3,3,2008,1154,77,35650,6.5807,1,0
1976,0,16.1602,7,4,2012,1996,112,48300,2.3324,2,0
1973,1,19.4922,4,1,2009,1682,330,58500,12.7449,3,0
1951,1,18.4926,4,2,2001,1660,171,32200,18.2427,1,0
1983,0,10.1626,2,3,2011,1684,185,52750,6.7473,0,0
1960,0,23.8238,2,3,2012,1334,108,44450,16.7433,0,0
1968,1,15.6604,1,3,2010,1646,158,69500,5.9976,3,0
1989,1,5.6644,5,2,2012,1398,131,62550,2.1658,2,0
1978,1,18.5759,1,1,2010,1670,118,59200,9.2463,1,0
1988,0,6.5807,8,1,2013,1772,338,60500,4.4982,1,1
1990,0,1.9159,9,1,2012,1876,165,41650,0.4165,2,0
1960,0,39.4009,2,2,2012,1390,113,56600,19.7421,1,0
1975,1,19.159,8,2,2007,1598,109,37250,1.8326,1,0
1974,1,23.1574,4,2,2012,1642,129,41350,12.6616,0,0
1986,0,6.4141,1,3,2012,1610,162,45350,0.9996,0,0
1988,0,9.7461,2,4,2013,1874,197,78100,5.1646,1,0
1981,1,18.4926,4,2,2012,1174,100,58300,12.2451,2,0
1970,1,14.994,2,1,2011,2102,155,61450,10.9956,0,0
1985,1,1.3328,1,3,2007,1388,126,35850,0.4998,3,0
1967,0,13.8278,5,4,2010,1930,157,46650,12.1618,0,0
1956,0,23.9904,1,3,2010,1668,181,53550,6.4141,2,0
1978,1,7.2471,3,3,2013,1356,116,66750,5.2479,3,0
1984,0,13.2447,3,2,2013,1830,137,54950,11.7453,1,0
1984,1,10.4958,4,3,2011,1730,130,46750,8.4133,2,1
1989,1,9.3296,3,2,2010,1258,141,69250,2.7489,3,1
1977,1,18.6592,2,3,2008,1470,136,33600,8.5799,0,0
1983,1,1.8326,8,4,2012,1780,193,48900,0.6664,1,0
1967,1,20.1586,5,1,2011,2002,157,42350,5.4145,0,0
1975,1,9.4129,4,3,2013,1394,106,63100,3.0821,0,0
1975,1,18.6592,4,3,2012,1758,193,47100,0.9163,2,1
1968,1,15.2439,5,3,2011,1174,93,48000,13.2447,0,0
1967,1,12.5783,2,2,1998,1508,100,30000,9.6628,0,1
1982,1,8.8298,4,2,2013,1292,135,55100,8.0801,1,0
1961,1,19.3256,9,2,2007,1732,293,35300,6.4141,1,1
1991,0,6.3308,4,3,2011,1168,99,67500,5.1646,2,0
1982,0,12.1618,7,2,2012,1860,188,63550,10.2459,1,0
1987,1,13.0781,9,3,2012,1546,119,44050,12.0785,0,0
1995,1,5.9976,9,3,2012,1560,132,63050,3.4986,0,0
1985,0,6.3308,8,3,2009,1190,92,43150,4.3316,2,0
1973,0,20.825,8,2,2013,1542,93,59200,15.0773,1,0
1989,1,10.7457,3,4,2011,2174,241,63550,8.9964,2,0
1986,1,9.2463,9,2,2011,1576,120,56400,6.664,1,0
1961,1,18.7425,5,3,2003,1610,189,31600,10.9956,0,0
1978,1,6.3308,9,2,2012,1194,82,55750,1.2495,3,1
1977,0,13.0781,4,3,2009,1438,115,62000,8.1634,1,0
1995,0,2.1658,2,3,1999,1314,106,30650,0.6664,0,1
1968,1,18.326,9,4,2011,1926,240,60750,11.9119,1,0
1966,1,1.7493,5,1,2011,1910,138,57300,1.1662,1,0
1967,0,18.9091,4,1,2010,2002,194,41650,4.8314,1,0
1962,1,7.9968,4,2,2007,1362,98,37750,1.9992,0,0
1951,1,31.654,8,2,2012,1576,122,59450,22.6576,1,1
1960,1,34.153,4,3,1998,1278,94,34700,4.2483,1,1
1988,1,9.4962,5,2,2012,1716,176,50300,2.5823,0,0
1968,1,23.7405,5,1,2002,2022,223,37450,11.8286,0,0
1990,0,9.4962,2,1,2009,1876,150,43350,4.5815,3,0
1995,1,2.9155,1,3,2013,1528,124,47300,1.666,3,0
1994,1,0.0833,5,1,2010,1784,167,55250,0.0833,1,0
1976,1,14.6608,2,3,2012,1316,118,66750,2.9988,1,0
1969,1,12.8282,3,1,2007,1828,197,32750,6.7473,4,0
1977,1,16.1602,4,1,2010,1954,164,44350,7.6636,0,0
1975,1,15.4105,1,1,2013,1902,186,66250,8.4966,4,0
1981,0,13.9111,9,3,2007,1848,246,33200,11.7453,1,0
1985,0,13.9944,5,2,2008,1608,170,31550,4.998,2,1
1987,1,11.3288,3,4,2009,1844,165,72900,9.7461,2,0
1986,1,12.9115,4,4,2008,1686,168,32950,12.2451,0,0
1981,0,4.998,8,1,2011,1746,150,53700,3.8318,0,0
1984,1,7.0805,9,1,2012,2098,177,56950,1.9159,2,0
1994,1,5.3312,2,2,2012,1582,95,59550,2.5823,0,1
1986,0,6.3308,5,2,2010,1666,167,74250,0.3332,1,0
1966,1,14.994,9,3,2011,1100,91,79550,3.5819,2,0
1973,0,20.6584,9,2,2012,1410,133,74150,17.3264,1,0
1971,0,18.4926,8,3,2006,1484,140,33350,11.1622,0,1
1956,0,37.1518,8,2,2012,1294,130,46950,6.5807,2,1
1980,0,4.3316,1,3,2006,1104,89,35650,3.6652,2,0
1989,0,7.4137,3,2,2009,1136,93,51900,0.3332,1,0
1983,1,18.4926,3,2,2010,1158,100,66650,2.0825,1,0
1961,1,32.3204,1,3,2005,1456,104,30950,28.6552,2,0
1994,1,2.9155,8,4,2013,1800,172,56100,1.9992,0,0
1986,1,10.5791,1,3,2005,1548,122,34550,5.1646,0,0
1979,1,16.66,8,2,2013,1530,119,58700,9.9127,1,0
1989,1,5.2479,4,1,2007,1622,162,34600,0.4998,3,0
1977,1,18.9924,9,1,2012,1752,180,59050,2.1658,1,0
1974,1,17.0765,5,2,2008,1990,131,34700,13.328,0,0
1950,0,37.2351,1,3,2011,1612,146,42600,24.99,2,0
1992,0,3.8318,9,4,2012,2352,124,51450,0.9996,0,0
1977,1,19.7421,2,2,2013,1862,152,66400,7.0805,0,0
1989,1,3.2487,8,3,2013,1264,146,52800,1.0829,0,0
1991,1,7.9135,2,3,2008,1658,153,33700,7.6636,0,0
1981,1,12.2451,3,3,2006,1656,268,31800,8.4966,5,0
1995,1,3.8318,7,3,2002,1306,104,33100,1.9992,1,0
1961,0,18.9924,2,2,2006,1350,104,32200,11.2455,0,0
1982,1,10.6624,4,2,2012,1836,170,54650,7.9968,0,1
1978,1,17.9095,4,2,2011,1582,103,56900,2.4157,1,1
1971,0,5.2479,2,2,2013,1560,132,40450,4.0817,0,0
1956,1,38.0681,7,3,2013,1566,135,55550,4.6648,1,0
1964,1,13.328,4,3,2012,1896,322,65600,4.4149,2,0
1990,1,7.497,2,2,2007,1584,117,37050,1.0829,0,0
1962,1,10.4958,3,3,2012,1306,116,65200,2.5823,0,0
1973,0,22.0745,2,2,2004,1274,123,34300,13.4946,2,0
1963,0,18.6592,4,2,2010,1604,223,62250,14.5775,0,0
1988,1,13.328,4,2,2010,1342,124,64350,5.0813,3,0
1991,1,4.165,2,1,2005,2238,123,36250,0.833,3,0
1985,0,12.0785,8,2,2010,1298,97,58700,1.666,2,0
1962,1,39.4842,7,2,2012,2064,205,46050,25.6564,1,0
1963,0,4.8314,7,1,2010,1716,133,43550,0.4165,1,0
1974,1,11.4954,1,2,2011,1754,258,60100,3.1654,2,0
1975,1,15.4938,8,2,2006,1306,141,34900,2.8322,1,0
1971,0,7.9135,2,2,2013,1412,145,51200,4.5815,0,0
1986,1,13.9944,5,3,2010,1560,122,44950,5.6644,0,0
1995,1,2.9988,4,2,2000,1384,147,32900,2.5823,3,0
1985,0,0.7497,9,4,2009,1834,139,58800,0.4998,2,0
1974,1,25.6564,8,1,2012,1822,178,51650,6.2475,0,0
1977,1,12.5783,3,3,2011,1460,131,68500,8.2467,2,0
1977,1,4.165,6,4,2013,1696,128,45250,0.833,0,1
1991,1,7.2471,4,3,2012,1182,89,59150,3.9151,1,0
1975,1,26.7393,9,2,2013,1776,200,65850,23.324,1,1
1967,1,15.7437,1,1,2007,1928,168,31600,12.5783,0,0
1975,0,18.326,3,2,2013,1384,125,68950,14.0777,0,0
1974,1,14.994,9,3,2006,1182,83,35200,6.7473,1,0
1992,0,4.3316,1,1,2013,1626,264,58400,2.4157,3,1
1992,0,4.2483,2,2,2013,1316,106,57600,1.9159,3,0
1975,1,21.8246,4,2,2013,1496,108,52600,2.499,0,0
1982,1,10.9956,9,3,2007,1514,110,31800,0.9996,1,0
1985,1,7.4137,5,1,2012,1932,138,50150,2.8322,1,0
1987,0,6.5807,8,4,2007,1868,149,35000,1.9992,1,0
1972,0,11.662,2,3,2012,1262,145,72350,3.4153,0,1
1969,0,21.9079,8,2,1998,1440,102,33550,13.4113,0,1
1978,0,12.0785,3,3,2011,1344,110,61950,7.2471,0,0
1984,0,16.1602,1,2,2009,1796,252,47500,6.8306,0,0
1959,1,29.8214,4,2,2008,1874,179,33150,0.9996,1,0
1982,1,4.7481,2,3,2011,1628,201,72500,3.2487,3,0
1985,1,8.1634,3,2,2009,1896,124,49000,4.3316,0,0
1977,1,13.4113,2,3,2009,1584,98,67650,4.7481,0,0
1983,1,15.827,2,3,2006,1346,122,35400,4.165,0,0
1985,1,10.2459,4,2,2005,1242,123,35300,9.7461,2,0
1983,1,18.0761,5,2,2012,2060,194,43200,17.3264,3,0
1948,0,28.2387,1,4,2008,1774,173,34700,18.2427,1,0
1983,1,6.7473,9,2,2012,1596,115,47750,4.9147,1,0
1988,0,9.5795,6,1,2012,2410,156,67600,4.3316,1,0
1977,1,14.2443,1,2,2012,1470,104,52600,6.4141,0,0
1986,1,6.7473,3,4,2010,1870,247,50400,3.4986,1,0
1993,1,6.2475,9,3,2012,1306,130,65600,0.5831,2,0
1980,0,11.1622,6,4,2012,1644,168,50600,7.8302,0,0
1976,1,13.6612,3,3,2012,1500,96,71150,5.6644,0,0
1976,0,7.2471,4,3,2010,1438,124,55000,3.9151,1,0
1955,0,34.8194,2,1,2011,1872,228,60200,30.821,1,0
1993,0,0.9996,5,1,2008,1784,192,31450,0,0,0
1993,0,3.4986,9,3,2013,1672,148,43800,2.9988,0,1
1946,1,32.3204,1,2,2009,1712,112,56100,12.1618,1,0
1964,0,24.8234,1,2,2010,1698,175,54300,7.3304,0,0
1991,0,9.7461,5,1,2013,1666,208,62850,1.3328,0,0
1969,0,29.155,2,2,2002,1228,91,31850,14.7441,1,0
1990,1,7.1638,1,3,2013,1802,206,57300,4.4149,0,0
1980,1,20.3252,4,2,2011,1748,222,56650,1.1662,2,0
1980,0,14.161,1,3,2005,1396,137,32900,2.7489,1,0
1987,1,12.3284,3,2,2007,1344,103,35100,6.4974,1,0
1954,1,13.9111,1,3,2010,1614,203,58450,6.4974,2,0
1987,1,6.0809,1,3,2006,1292,144,30550,2.6656,2,1
1967,1,29.7381,2,3,2008,1630,148,30700,5.831,1,0
1987,1,7.3304,2,2,2013,1988,237,65200,3.332,0,0
1978,0,5.1646,1,3,2010,1294,138,57700,2.4157,1,1
1964,0,28.5719,4,2,2009,1362,131,43550,14.5775,2,0
1983,1,16.5767,2,3,2002,1560,114,31750,1.3328,0,0
1955,1,42.8995,9,3,2013,1292,143,57450,0.9996,0,0
1980,1,13.4946,9,3,2011,1182,95,53700,6.4141,2,0
1975,0,20.9083,2,4,2013,2018,197,68500,6.9972,1,0
1991,0,10.0793,4,2,2010,1134,100,43650,4.9147,1,0
1980,0,14.8274,9,3,2007,1576,119,30050,12.7449,0,0
1989,1,9.9127,1,2,2010,1514,147,62850,5.1646,1,0
1963,0,24.5735,5,2,2010,1654,194,41350,13.5779,0,0
1985,1,6.9972,5,3,2009,1672,150,57700,5.2479,0,0
1979,0,8.5799,1,4,2013,1836,194,57100,1.4994,1,0
1957,0,20.9083,9,4,2010,1664,124,45650,5.4145,2,0
1974,0,12.3284,8,3,2006,1730,211,35000,0.833,0,0
1982,0,16.7433,3,2,2011,1376,146,57500,6.8306,0,0
1994,1,3.9984,2,3,2013,1314,110,51900,2.4157,0,0
1977,1,21.5747,4,2,2007,1392,123,32850,14.4109,1,0
1970,1,19.6588,9,3,2012,1556,98,60600,11.9952,2,0
1979,0,8.7465,9,2,2011,1528,123,68750,4.3316,1,0
1972,1,18.6592,5,1,2008,1716,140,33300,16.5767,2,1
1959,1,19.6588,3,3,2013,1614,135,57150,8.9131,2,1
1983,1,15.4938,4,2,2011,1658,146,60050,7.6636,0,0
1960,0,27.9888,2,3,2010,1518,112,44100,26.3228,0,0
1995,0,3.2487,6,2,2009,1352,108,58000,2.0825,0,0
1976,0,24.8234,2,3,1998,1280,120,31250,23.9904,2,0
1994,1,1.4994,7,4,2013,2436,211,53500,1.2495,0,0
1988,1,6.4141,4,3,2006,1806,167,32700,1.2495,2,1
1969,1,27.0725,3,1,2012,1654,226,43600,19.0757,0,0
1969,0,26.8226,4,4,2011,2016,253,68100,16.0769,2,0
1972,1,6.1642,8,2,2013,1376,112,56900,2.5823,1,0
1969,0,12.5783,8,4,2011,2066,201,66800,6.1642,1,0
1949,1,20.9916,5,4,2002,1812,138,31800,20.5751,0,0
1987,1,9.3296,4,1,2008,1638,152,36650,1.7493,0,0
1978,0,3.7485,5,3,2011,1274,103,60800,1.7493,3,1
1979,0,15.827,8,2,2012,1708,186,52750,5.831,1,0
1980,1,14.8274,4,3,2013,1694,116,55500,6.0809,0,0
1976,1,17.2431,4,3,2006,1870,176,36150,7.8302,3,0
1994,1,6.664,3,3,2006,1614,324,30800,4.998,1,0
1990,0,7.9135,4,3,2011,1112,96,40250,5.1646,3,0
1977,0,9.4129,7,2,2012,1204,117,70900,4.998,2,0
1980,1,10.4958,2,3,2010,1124,90,45100,5.1646,2,0
1975,0,24.0737,7,2,2008,1560,124,31550,0.4165,2,0
1980,0,12.5783,1,3,2013,1620,168,51550,9.4962,1,0
1974,1,17.4097,8,3,2010,1380,98,61750,0.6664,0,1
1981,1,17.5763,9,2,2010,1206,105,54050,8.8298,2,0
1949,1,10.0793,1,3,2001,1358,123,31850,4.9147,2,1
1987,1,11.5787,2,3,2006,1658,152,35350,10.6624,0,1
1968,0,11.8286,2,4,2010,1704,165,75550,5.4145,0,0
1980,0,21.1582,1,1,2011,2198,168,69200,4.998,1,0
1989,1,6.4141,3,2,2009,1510,110,51900,2.1658,0,1
1971,1,16.2435,3,4,2009,2132,138,52750,13.9111,1,0
1974,1,18.8258,7,3,2013,1792,132,61700,6.4141,0,0
1967,0,19.3256,3,1,2012,2278,196,74650,19.3256,1,0
1964,0,32.5703,8,3,2012,1318,116,58150,0.6664,0,0
1985,1,11.5787,3,3,2006,1350,117,31350,7.0805,0,0
1973,1,14.0777,9,1,2013,2124,216,57700,12.3284,1,0
1963,1,35.1526,3,3,2013,1152,93,54250,19.2423,0,0
1982,1,9.0797,5,2,2011,2006,163,65800,3.8318,0,0
1994,1,4.998,9,1,2011,1876,194,65650,1.1662,0,0
1960,1,27.1558,1,3,2006,1870,297,35650,17.493,4,0
1984,1,9.6628,4,3,2007,1634,136,31500,3.0821,0,0
1975,1,16.2435,5,2,2012,1644,132,48150,8.4966,1,0
1983,1,12.495,4,2,2007,1192,89,31700,5.9143,0,0
1979,0,3.4153,9,3,2010,1472,118,57700,1.1662,0,0
1976,1,6.664,1,3,2009,1102,91,62250,0.3332,3,0
1964,0,14.3276,5,3,2011,1350,103,40600,9.7461,0,0
1985,0,11.9952,9,3,2013,1450,109,77700,8.8298,2,0
1983,0,17.2431,2,3,1999,1196,89,37550,16.4934,0,0
1985,0,0.9996,8,1,2007,1840,199,39750,0.4998,0,1
1995,1,1.9992,5,3,2009,1706,137,45250,0.4165,2,0
1978,1,15.4938,4,2,2009,1746,153,49300,10.3292,0,0
1961,0,8.9131,1,3,2013,1588,128,65700,5.4978,0,0
1976,0,14.994,8,1,2012,1668,117,66850,11.2455,1,0
1990,0,4.0817,4,3,2006,1548,104,37350,2.3324,1,0
1950,1,18.4093,5,2,2005,1282,135,35700,15.2439,0,0
1966,1,25.1566,2,3,2010,1332,126,73700,20.4085,1,0
1973,1,23.2407,4,2,2008,1486,109,31900,14.6608,0,0
1985,1,8.1634,3,3,2006,1640,144,32550,3.7485,1,0
1985,1,6.9972,5,1,2013,1918,144,45400,1.5827,1,0
1971,1,16.5767,3,3,2013,1604,184,45650,6.3308,2,0
1980,0,13.5779,3,2,2010,1266,94,79200,5.4145,2,0
1967,1,20.2419,4,2,2007,1266,127,35300,9.2463,0,0
1987,1,4.7481,3,2,2013,1530,102,63700,0.9163,0,0
1970,1,19.0757,9,3,2002,1456,96,30500,12.6616,0,0
1984,0,14.8274,1,3,2012,1610,133,69900,1.4161,1,0
1987,0,12.5783,9,3,2010,2080,143,58200,3.332,1,0
1976,1,19.5755,3,2,2001,1660,125,37800,16.5767,1,0
1981,0,9.996,5,2,2006,1614,168,35850,1.9159,0,0
1975,1,14.2443,3,1,2012,1736,191,75250,10.5791,2,0
1992,1,6.4974,3,3,2005,1158,83,30250,3.0821,0,0
1976,1,9.4962,3,3,2012,1140,79,43100,6.8306,1,0
1992,0,3.8318,7,2,2011,1428,100,57450,2.1658,0,1
1995,1,3.9151,3,2,2010,1830,205,56950,3.332,0,0
1967,1,20.0753,4,2,2007,1212,129,34200,2.2491,2,0
1967,1,23.5739,2,3,2011,1510,146,53350,13.0781,1,0
1990,1,8.7465,3,2,2008,1566,97,31500,7.5803,2,0
1975,0,11.0789,3,4,2009,1790,167,50550,9.163,0,0
1975,1,10.4958,3,4,2006,1774,177,33000,3.9151,1,0
1989,1,4.9147,7,2,2010,1212,102,71650,1.9992,0,0
1974,1,6.8306,1,2,2013,1436,140,63600,4.7481,2,0
1985,1,14.9107,2,3,2010,1814,341,65450,10.3292,0,1
1966,1,11.2455,9,3,2012,1720,147,59100,3.4153,2,0
1955,1,37.4017,4,2,2011,1116,100,58500,33.2367,1,0
1962,1,23.1574,9,2,2011,1610,140,53000,10.2459,1,0
1988,1,9.4962,5,3,2002,1668,121,32200,1.4161,1,0
1990,0,11.7453,2,4,2012,1836,120,62650,2.8322,0,0
1990,1,6.664,9,2,2006,1786,196,31750,1.3328,0,0
1983,0,15.4105,8,1,2006,1902,259,32650,6.9139,0,0
1984,1,17.6596,3,3,2012,1608,158,46900,8.2467,0,0
1962,1,17.0765,4,1,2009,2062,170,58400,16.5767,2,0
1987,0,9.5795,4,1,2012,1756,182,57450,7.2471,1,1
1983,1,14.2443,3,3,2010,1738,119,46800,5.4978,1,0
1972,1,26.9059,3,3,2006,1324,122,31000,19.7421,2,1
